id|tokenCount
1|261
2|46
3|98
4|76
5|71
6|78
7|132
8|52
9|93
10|33
11|97
12|55
13|91
14|118
15|65
16|154
17|24
18|116
19|232
20|235
21|122
22|131
23|42
24|36
25|106
26|38
27|122
28|51
29|75
30|41
31|74
32|109
33|56
34|45
35|92
36|63
37|38
38|64
39|55
40|49
41|40
42|74
43|52
44|27
45|14
46|15
47|58
48|37
49|42
50|47
51|50
52|48
53|50
54|39
55|27
56|23
57|70
58|100
59|127
60|136
61|127
62|83
63|176
64|93
65|115
66|31
67|150
68|78
69|178
70|186
71|225
72|148
73|142
74|101
75|122
76|86
77|15
78|20
79|21
80|16
81|28
82|25
83|24
84|33
85|25
86|25
87|441
88|30
89|51
90|142
91|78
92|296
93|255
94|233
95|67
96|56
97|35
98|138
99|37
100|72
101|45
102|93
103|53
104|62
105|117
106|38
107|51
108|128
109|25
110|94
111|74
112|91
113|81
114|70
115|136
116|33
117|121
118|78
119|50
120|42
121|50
122|27
123|46
124|118
125|113
126|75
127|58
128|102
129|124
130|51
131|27
132|31
133|146
134|111
135|75
136|45
137|23
138|56
139|59
140|105
141|2505
142|1817
143|24
144|59
145|50
146|44
147|51
148|130
149|74
150|54
151|55
152|27
153|262
154|177
155|89
156|127
157|173
158|95
159|149
160|66
161|462
162|9
163|4
164|45
165|26
166|77
167|64
168|43
169|167
170|207
171|53
172|193
173|98
174|27
175|31
176|196
177|38
178|127
179|55
180|34
181|104
182|42
183|162
184|27
185|124
186|205
187|63
188|19
189|84
190|16
191|33
192|34
193|84
194|24
195|85
196|29
197|30
198|28
199|35
200|94
201|77
202|43
203|62
204|45
205|38
206|18
207|71
208|199
209|91
210|39
211|12
212|91
213|38
214|57
215|55
216|19
217|41
218|45
219|111
220|25
221|61
222|57
223|69
224|84
225|38
226|25
227|22
228|44
229|106
230|27
231|38
232|23
233|77
234|185
235|23
236|191
237|84
238|140
239|116
240|129
241|31
242|95
243|92
244|137
245|71
246|56
247|68
248|34
249|58
